prod_lait_Tr,prod_lait_Fr,monthsnbMois
38,109,September
34,113,October
29,103,November
29,111,December
29,118,January
29,107,February
29,103,March
27,111,April
27,111,May
27,105,June
120,112,July
102,105,August
102,112,September
98,109,October
86,103,November
74,99,December
70,102,January
70,103,February
70,110,March
53,105,April
53,117,May
53,105,June
120,106,July
102,107,August
102,102,September
98,107,October
84,105,November
75,102,December
69,107,January
69,109,February
69,108,March
51,111,April
51,104,May
51,108,June
120,106,July
102,112,August
102,106,September
98,105,October
85,109,November
75,110,December
70,107,January
70,112,February
70,119,March
54,115,April
54,100,May
54,113,June
120,104,July
102,107,August
102,102,September
98,109,October
85,104,November
77,115,December
72,107,January
72,111,February
72,106,March
58,112,April
32,109,August
32,106,September
28,116,October
24,105,November
24,106,December
24,106,January
24,108,February
24,109,March
22,98,April
22,114,May
22,108,June
110,99,July
95,106,August
95,110,September
91,103,October
76,107,November
68,106,December
63,111,January
63,114,February
63,113,March
45,102,April
45,117,May
45,114,June
110,109,July
95,110,August
95,105,September
91,106,October
77,104,November
68,113,December
63,107,January
63,106,February
63,110,March
44,105,April
44,108,May
44,105,June
110,109,July
95,111,August
95,113,September
91,111,October
78,111,November
68,101,December
63,113,January
63,108,February
63,108,March
45,100,April
45,96,May
45,105,June
110,112,July
95,116,August
95,117,September
91,114,October
78,108,November
69,112,December
63,107,January
63,110,February
63,108,March
45,114,April
45,111,May
45,102,June
110,100,July
95,109,August
95,107,September
91,115,October
78,116,November
69,107,December
64,109,January
64,117,February
64,119,March
48,110,April
48,110,May
48,115,June
110,107,July
95,111,August
95,105,September
91,107,October
77,107,November
68,109,December
63,117,January
63,109,February
63,109,March
44,110,April
44,111,May
44,105,June
110,106,July
95,108,August
95,111,September
91,110,October
78,118,November
69,109,December
64,105,January
64,108,February
64,108,March
47,104,April
47,110,May
47,104,June
110,109,July
95,111,August
95,113,September
91,109,October
78,110,November
70,104,December
65,111,January
65,115,February
65,116,March
50,114,April
50,100,May
50,104,June
110,115,July
95,108,August
95,108,September
91,106,October
75,107,November
67,103,December
63,99,January
63,105,February
63,106,March
44,107,April
44,111,May
44,114,June
110,106,July
41,109,August
41,119,September
37,113,October
33,109,November
33,109,December
33,103,January
33,101,February
33,115,March
30,116,April
30,106,May
30,103,June
107,111,July
87,112,August
87,112,September
83,113,October
78,116,November
71,112,December
67,118,January
67,111,February
67,109,March
64,112,April
64,108,May
64,101,June
107,112,July
87,114,August
87,111,September
83,107,October
78,104,November
71,114,December
68,113,January
68,114,February
68,115,March
65,107,April
65,111,May
65,105,June
107,110,July
87,113,August
87,108,September
83,109,October
78,103,November
70,109,December
66,105,January
66,113,February
66,111,March
61,113,April
61,109,May
61,110,June
107,110,July
87,114,August
87,112,September
83,107,October
78,105,November
70,107,December
67,106,January
67,114,February
67,103,March
65,122,April
65,118,May
65,120,June
107,107,July
87,110,August
87,111,September
83,109,October
78,111,November
71,105,December
67,104,January
67,102,February
67,100,March
64,118,April
64,110,May
64,117,June
107,106,July
87,110,August
87,109,September
83,110,October
79,111,November
71,120,December
67,111,January
67,117,February
67,111,March
64,108,April
64,101,May
64,111,June
107,113,July
87,106,August
87,113,September
83,100,October
79,115,November
71,110,December
68,120,January
68,106,February
68,116,March
66,100,April
66,110,May
66,113,June
107,113,July
87,117,August
87,109,September
83,109,October
78,105,November
71,104,December
66,107,January
66,112,February
66,114,March
62,117,April
62,116,May
62,106,June
107,105,July
87,106,August
87,107,September
83,115,October
79,109,November
71,110,December
68,118,January
68,109,February
68,113,March
65,107,April
65,113,May
65,121,June
107,105,July
53,105,August
53,114,September
49,113,October
45,105,November
45,115,December
45,111,January
45,112,February
45,109,March
38,119,April
38,105,May
38,111,June
107,110,July
99,113,August
99,113,September
95,102,October
94,100,November
87,110,December
84,107,January
84,106,February
84,108,March
68,115,April
68,107,May
68,113,June
107,106,July
99,111,August
99,111,September
95,112,October
93,102,November
86,99,December
82,107,January
82,118,February
82,103,March
64,115,April
64,116,May
64,113,June
107,117,July
99,111,August
99,109,September
95,106,October
93,113,November
88,108,December
84,120,January
84,110,February
84,108,March
68,111,April
68,116,May
68,119,June
107,119,July
99,106,August
99,116,September
95,112,October
93,108,November
86,115,December
83,107,January
83,113,February
83,106,March
66,114,April
66,108,May
66,107,June
107,106,July
99,115,August
99,99,September
95,113,October
93,108,November
87,113,December
84,114,January
84,106,February
84,109,March
69,108,April
69,106,May
69,107,June
107,110,July
99,102,August
99,105,September
95,118,October
93,106,November
86,116,December
83,108,January
83,110,February
83,106,March
65,104,April
65,105,May
65,113,June
107,110,July
99,108,August
99,119,September
95,102,October
94,109,November
87,108,December
84,119,January
84,109,February
84,108,March
68,113,April
68,111,May
68,113,June
107,111,July
99,106,August
99,114,September
95,110,October
94,113,November
87,106,December
83,110,January
83,112,February
83,106,March
65,107,April
65,105,May
65,113,June
107,104,July
99,117,August
99,107,September
95,97,October
92,110,November
85,110,December
82,109,January
82,117,February
82,107,March
65,108,April
65,109,May
65,107,June
107,114,July
99,108,August
99,111,September
95,107,October
94,107,November
86,102,December
83,105,January
83,109,February
83,114,March
66,115,April
66,108,May
66,110,June
107,112,July
99,104,August
99,111,September
95,104,October
94,108,November
87,114,December
83,107,January
83,112,February
83,114,March
67,106,April
67,109,May
67,109,June
107,104,July
99,111,August
99,101,September
95,110,October
92,110,November
86,113,December
82,112,January
82,111,February
82,115,March
64,101,April
64,103,May
64,113,June
107,110,July
99,108,August
99,113,September
95,108,October
92,105,November
85,114,December
82,112,January
82,111,February
82,100,March
64,109,April
64,119,May
64,111,June
107,109,July
99,111,August
99,113,September
102,110,August
102,114,September
99,111,October
94,109,November
93,102,December
93,104,January
93,110,February
93,110,March
87,112,April
87,108,May
87,111,June
150,109,July
139,114,August
139,111,September
135,109,October
133,110,November
126,113,December
123,115,January
123,113,February
123,104,March
113,104,April
113,109,May
113,109,June
150,113,July
139,113,August
139,106,September
135,111,October
134,104,November
127,113,December
124,108,January
124,109,February
124,110,March
115,110,April
115,101,May
115,112,June
150,109,July
139,114,August
139,108,September
135,103,October
133,106,November
127,112,December
124,109,January
124,106,February
124,118,March
115,111,April
115,112,May
115,108,June
150,107,July
139,101,August
139,103,September
135,100,October
134,108,November
128,108,December
124,109,January
124,104,February
124,112,March
115,110,April
115,101,May
115,115,June
150,113,July
139,111,August
139,107,September
135,109,October
133,102,November
126,117,December
124,112,January
124,115,February
124,110,March
115,109,April
115,105,May
115,114,June
150,108,July
139,113,August
139,114,September
135,115,October
132,106,November
126,106,December
124,107,January
124,110,February
124,103,March
115,109,April
115,107,May
115,108,June
150,111,July
139,108,August
139,110,September
135,116,October
134,106,November
127,112,December
125,115,January
125,107,February
125,115,March
117,116,April
117,108,May
117,105,June
150,101,July
139,110,August
139,111,September
135,102,October
133,115,November
126,99,December
124,110,January
124,113,February
124,107,March
114,118,April
114,108,May
114,103,June
150,109,July
139,106,August
139,109,September
135,110,October
133,108,November
127,111,December
124,122,January
124,107,February
124,108,March
115,105,April
115,103,May
115,105,June
150,114,July
139,107,August
139,111,September
135,112,October
134,110,November
127,104,December
124,105,January
124,100,February
124,117,March
114,109,April
114,105,May
114,115,June
150,107,July
139,100,August
139,112,September
135,109,October
134,113,November
128,99,December
125,109,January
125,110,February
125,114,March
116,107,April
116,109,May
116,112,June
150,107,July
139,105,August
139,103,September
135,111,October
133,113,November
126,118,December
125,109,January
125,109,February
125,100,March
117,111,April
117,115,May
117,110,June
18,109,August
39,109,August
39,107,September
35,114,October
31,110,November
31,111,December
31,112,January
31,113,February
31,109,March
28,109,April
28,104,May
28,112,June
102,104,July
83,112,August
83,112,September
79,117,October
76,114,November
69,102,December
65,108,January
65,108,February
65,107,March
62,105,April
62,112,May
62,111,June
102,114,July
83,109,August
83,108,September
79,112,October
74,109,November
65,107,December
62,105,January
62,115,February
62,116,March
56,120,April
56,112,May
56,106,June
102,106,July
83,99,August
83,112,September
79,106,October
75,109,November
68,114,December
64,109,January
64,112,February
64,108,March
59,116,April
59,104,May
59,111,June
102,108,July
61,110,August
61,111,September
57,108,October
53,121,November
52,112,December
52,105,January
52,111,February
52,117,March
46,115,April
22,107,August
22,102,September
19,115,October
15,116,November
14,107,December
14,109,January
14,105,February
14,115,March
13,103,April
13,110,May
13,103,June
94,106,July
66,112,August
66,108,September
62,107,October
62,112,November
55,97,December
52,112,January
52,117,February
52,111,March
53,110,April
53,115,May
53,112,June
94,113,July
66,103,August
66,113,September
62,118,October
61,107,November
53,115,December
49,107,January
49,120,February
49,104,March
48,108,April
48,107,May
48,112,June
94,111,July
66,115,August
66,112,September
62,117,October
61,107,November
54,107,December
50,109,January
50,113,February
50,111,March
49,107,April
49,106,May
49,113,June
94,109,July
66,113,August
66,109,September
62,108,October
61,109,November
54,111,December
49,113,January
49,98,February
49,110,March
48,105,April
48,105,May
48,115,June
94,112,July
66,118,August
66,106,September
62,117,October
62,118,November
55,114,December
51,107,January
51,112,February
51,107,March
51,114,April
51,108,May
51,109,June
94,113,July
66,113,August
66,110,September
62,111,October
61,116,November
54,111,December
49,115,January
49,105,February
49,108,March
47,112,April
47,101,May
47,107,June
94,100,July
66,102,August
66,107,September
62,116,October
61,108,November
54,106,December
51,105,January
51,105,February
51,106,March
51,103,April
51,112,May
51,109,June
94,113,July
66,103,August
66,109,September
62,112,October
62,114,November
54,109,December
50,108,January
50,114,February
50,111,March
49,103,April
21,104,August
21,106,September
17,108,October
13,110,November
13,111,December
13,110,January
13,110,February
13,112,March
12,111,April
12,111,May
12,106,June
91,106,July
64,114,August
20,108,August
20,108,September
17,118,October
13,111,November
12,112,December
12,111,January
12,104,February
12,103,March
12,108,April
12,116,May
12,111,June
86,104,July
23,110,August
23,104,September
20,105,October
16,113,November
15,113,December
15,104,January
15,110,February
15,105,March
12,105,April
12,110,May
12,110,June
88,116,July
65,110,August
65,114,September
61,107,October
59,114,November
52,110,December
48,115,January
48,104,February
48,106,March
46,102,April
46,107,May
46,120,June
88,107,July
65,110,August
65,110,September
61,104,October
58,112,November
51,119,December
47,112,January
47,104,February
47,108,March
44,115,April
44,104,May
44,115,June
88,107,July
65,109,August
65,108,September
61,113,October
58,115,November
51,112,December
48,104,January
48,115,February
48,108,March
47,107,April
47,113,May
47,102,June
88,115,July
65,109,August
65,112,September
61,106,October
59,103,November
51,112,December
48,107,January
48,105,February
48,108,March
46,114,April
46,108,May
46,111,June
88,108,July
65,112,August
65,98,September
61,112,October
59,109,November
52,113,December
48,118,January
48,108,February
48,105,March
45,103,April
45,111,May
45,104,June
88,109,July
65,115,August
65,116,September
61,107,October
59,106,November
52,109,December
48,112,January
48,114,February
48,105,March
46,113,April
46,109,May
46,111,June
88,106,July
65,105,August
65,106,September
61,110,October
58,111,November
50,117,December
46,108,January
46,107,February
46,116,March
43,106,April
43,113,May
43,119,June
88,102,July
65,112,August
65,109,September
61,116,October
19,114,August
19,107,September
16,109,October
12,109,November
12,99,December
12,114,January
12,105,February
12,105,March
10,111,April
10,105,May
10,116,June
85,113,July
63,107,August
63,111,September
59,109,October
58,107,November
51,111,December
47,109,January
47,109,February
47,108,March
42,108,April
42,109,May
42,105,June
85,100,July
63,114,August
63,104,September
59,113,October
58,111,November
51,104,December
47,104,January
47,105,February
47,117,March
41,103,April
41,101,May
41,107,June
85,115,July
63,105,August
63,104,September
59,107,October
58,102,November
50,117,December
47,113,January
47,115,February
47,113,March
42,109,April
42,113,May
42,100,June
85,112,July
63,107,August
63,119,September
59,111,October
57,114,November
26,106,August
26,119,September
22,106,October
18,112,November
18,108,December
18,112,January
18,111,February
18,108,March
13,104,April
13,104,May
13,114,June
57,112,July
81,108,August
81,109,September
77,118,October
107,103,November
100,108,December
97,111,January
97,105,February
97,115,March
24,107,April
24,108,May
24,107,June
57,113,July
81,104,August
81,115,September
77,110,October
106,106,November
99,116,December
97,113,January
97,112,February
97,104,March
24,112,April
24,109,May
24,105,June
57,109,July
81,115,August
81,120,September
77,114,October
106,108,November
100,117,December
97,107,January
97,104,February
20,102,August
20,116,September
23,105,August
23,101,September
19,117,October
16,103,November
15,112,December
15,113,January
15,109,February
15,112,March
13,111,April
13,108,May
13,114,June
61,112,July
87,104,August
87,109,September
83,118,October
112,106,November
104,105,December
101,100,January
101,113,February
101,111,March
27,111,April
27,111,May
27,107,June
61,108,July
87,110,August
87,113,September
83,110,October
111,107,November
104,106,December
101,114,January
101,117,February
101,104,March
27,103,April
27,104,May
27,104,June
61,111,July
87,110,August
87,115,September
83,115,October
112,106,November
105,112,December
102,116,January
102,116,February
102,105,March
29,110,April
29,103,May
29,104,June
61,112,July
87,107,August
87,105,September
83,111,October
111,111,November
104,110,December
102,110,January
25,104,August
25,115,September
21,113,October
17,109,November
17,109,December
17,111,January
17,106,February
17,104,March
13,109,April
13,109,May
13,113,June
62,110,July
87,109,August
87,108,September
83,111,October
109,115,November
103,112,December
100,112,January
100,106,February
100,109,March
28,126,April
28,111,May
28,117,June
62,113,July
87,107,August
87,108,September
83,111,October
109,106,November
102,109,December
100,104,January
100,108,February
100,110,March
28,110,April
28,114,May
28,108,June
62,111,July
87,103,August
87,110,September
83,107,October
110,108,November
103,107,December
100,107,January
100,106,February
100,111,March
28,111,April
28,105,May
28,106,June
62,116,July
87,118,August
87,107,September
83,115,October
109,106,November
103,107,December
99,106,January
99,121,February
99,105,March
28,108,April
28,107,May
28,113,June
62,98,July
87,106,August
87,101,September
83,109,October
109,115,November
103,112,December
100,109,January
100,106,February
100,108,March
28,98,April
28,114,May
28,105,June
62,104,July
87,109,August
87,109,September
83,102,October
109,110,November
102,108,December
100,105,January
100,106,February
100,114,March
28,99,April
28,110,May
28,103,June
62,104,July
87,116,August
87,117,September
83,106,October
109,114,November
102,112,December
100,101,January
100,104,February
100,106,March
28,105,April
28,121,May
28,106,June
62,114,July
87,110,August
87,109,September
83,117,October
109,109,November
102,118,December
100,119,January
100,108,February
100,118,March
28,108,April
28,108,May
28,112,June
62,105,July
87,115,August
87,108,September
83,113,October
110,106,November
103,108,December
100,117,January
100,113,February
100,108,March
28,111,April
28,110,May
28,117,June
62,113,July
87,112,August
87,115,September
83,106,October
109,99,November
102,117,December
99,113,January
99,108,February
99,107,March
27,115,April
27,115,May
27,113,June
62,106,July
87,110,August
87,105,September
83,116,October
109,117,November
102,111,December
100,106,January
100,110,February
100,107,March
29,114,April
29,102,May
29,108,June
62,105,July
87,107,August
87,114,September
22,107,August
22,119,September
18,113,October
14,111,November
14,119,December
14,109,January
14,107,February
14,116,March
9,112,April
9,113,May
9,103,June
57,118,July
85,112,August
85,108,September
80,105,October
105,108,November
98,107,December
95,113,January
95,106,February
95,111,March
22,106,April
22,104,May
22,112,June
21,109,August
21,112,September
17,114,October
13,108,November
13,109,December
13,110,January
13,104,February
13,118,March
11,112,April
11,106,May
11,108,June
60,112,July
84,107,August
84,109,September
79,112,October
109,106,November
102,113,December
99,102,January
99,117,February
24,111,August
24,106,September
20,105,October
16,104,November
16,112,December
16,110,January
16,106,February
16,117,March
11,116,April
11,112,May
11,115,June
56,106,July
87,107,August
87,110,September
82,107,October
110,112,November
103,113,December
101,112,January
101,110,February
101,110,March
23,106,April
23,115,May
23,100,June
56,108,July
194,104,August
194,114,September
189,119,October
106,110,November
26,105,August
26,100,September
22,100,October
18,108,November
18,112,December
18,114,January
18,113,February
18,109,March
13,105,April
13,109,May
13,110,June
301,107,July
319,114,August
319,117,September
314,111,October
477,111,November
19,120,August
19,116,September
15,112,October
11,110,November
11,107,December
11,108,January
11,108,February
11,108,March
8,109,April
8,115,May
8,112,June
55,106,July
81,112,August
81,115,September
77,105,October
102,114,November
95,108,December
93,104,January
93,110,February
93,112,March
22,103,April
22,110,May
22,109,June
55,112,July
81,105,August
81,100,September
77,106,October
102,111,November
95,108,December
93,117,January
93,105,February
93,114,March
21,100,April
21,113,May
21,105,June
55,112,July
81,109,August
81,117,September
77,118,October
102,105,November
95,112,December
93,110,January
93,110,February
93,110,March
21,110,April
21,113,May
21,111,June
55,104,July
81,112,August
81,105,September
77,105,October
102,117,November
95,111,December
93,109,January
93,108,February
93,114,March
21,106,April
21,116,May
21,111,June
55,108,July
81,102,August
81,109,September
77,113,October
102,106,November
96,107,December
93,110,January
93,112,February
93,108,March
22,110,April
22,110,May
22,113,June
55,108,July
81,113,August
81,112,September
77,103,October
25,106,August
25,106,September
21,112,October
17,109,November
17,112,December
17,114,January
17,111,February
17,113,March
13,109,April
13,105,May
13,113,June
61,115,July
87,108,August
87,109,September
83,109,October
111,109,November
104,108,December
101,101,January
101,108,February
101,108,March
27,111,April
27,111,May
27,113,June
61,111,July
87,112,August
87,105,September
83,112,October
25,113,August
25,116,September
21,104,October
17,107,November
17,107,December
17,108,January
17,98,February
17,111,March
12,114,April
12,117,May
12,109,June
62,106,July
85,113,August
85,114,September
80,116,October
107,106,November
100,102,December
98,104,January
98,109,February
20,101,August
20,112,September
16,110,October
13,110,November
13,113,December
13,113,January
13,106,February
13,114,March
11,118,April
11,108,May
11,108,June
61,114,July
79,112,August
79,104,September
75,111,October
98,109,November
91,111,December
89,115,January
89,115,February
89,107,March
20,105,August
20,115,September
16,112,October
13,112,November
12,109,December
12,116,January
12,114,February
12,115,March
8,116,April
8,107,May
8,108,June
56,111,July
83,111,August
83,99,September
23,107,August
23,113,September
19,115,October
15,110,November
15,106,December
15,111,January
15,112,February
15,109,March
9,109,April
9,108,May
9,113,June
60,106,July
23,107,August
23,110,September
19,107,October
15,109,November
15,104,December
15,114,January
15,114,February
15,103,March
12,109,April
12,116,May
12,109,June
61,112,July
83,114,August
83,116,September
79,115,October
104,112,November
97,108,December
23,111,August
23,108,September
19,109,October
15,108,November
15,118,December
15,104,January
15,112,February
15,102,March
12,111,April
12,109,May
12,108,June
60,100,July
22,110,August
22,114,September
18,101,October
15,114,November
14,116,December
14,110,January
14,109,February
14,108,March
12,108,April
12,113,May
12,110,June
61,114,July
84,106,August
84,115,September
140,122,August
160,112,August
175,113,August
175,105,September
140,101,August
140,111,September
136,112,October
103,110,August
103,107,September
99,108,October
94,111,November
112,106,December
120,111,January
148,103,August
154,105,September
150,110,October
145,118,November
204,106,December
211,115,January
144,119,August
144,105,September
140,106,October
135,108,November
158,111,December
162,113,January
165,111,February
165,118,March
128,113,April
129,109,May
129,113,June
141,114,July
194,101,August
194,101,September
189,102,October
209,116,November
150,106,August
150,106,September
146,111,October
140,116,November
172,111,December
180,100,January
182,113,February
182,116,March
144,112,April
144,104,May
144,104,June
22,112,August
22,114,September
18,110,October
14,110,November
14,108,December
14,107,January
14,106,February
14,110,March
9,106,April
9,103,May
9,115,June
60,119,July
84,116,August
84,109,September
79,106,October
107,110,November
100,117,December
97,110,January
97,112,February
97,108,March
24,110,April
24,110,May
24,111,June
60,113,July
84,115,August
84,108,September
79,106,October
107,103,November
100,115,December
97,109,January
97,111,February
97,109,March
24,115,April
24,102,May
24,105,June
60,114,July
84,120,August
84,103,September
79,114,October
107,106,November
101,103,December
98,107,January
98,108,February
98,107,March
27,115,April
27,111,May
27,105,June
