biotp,monthsnbMois
159,December
154,January
154,February
154,March
84,April
84,May
84,June
113,July
330,August
330,September
330,October
167,November
150,December
147,January
147,February
147,March
80,April
80,May
80,June
113,July
312,August
330,September
330,October
165,November
151,December
150,January
150,February
150,March
82,April
82,May
82,June
60,July
269,August
269,September
269,October
94,November
71,December
56,January
56,February
56,March
27,April
27,May
27,June
45,July
133,August
133,September
133,October
48,November
36,December
32,January
32,February
32,March
14,April
14,May
14,June
90,July
269,August
269,September
269,October
96,November
58,December
49,January
49,February
49,March
24,April
24,May
24,June
45,July
133,August
133,September
133,October
59,November
40,December
31,January
31,February
31,March
14,April
14,May
14,June
45,July
133,August
133,September
133,October
39,November
36,December
33,January
33,February
33,March
15,April
15,May
15,June
45,July
133,August
133,September
133,October
56,November
39,December
34,January
34,February
34,March
15,April
15,May
15,June
90,July
269,August
269,September
269,October
102,November
71,December
58,January
58,February
58,March
28,April
28,May
28,June
90,July
269,August
269,September
269,October
106,November
71,December
56,January
56,February
56,March
27,April
27,May
27,June
45,July
133,August
133,September
133,October
43,November
33,December
31,January
31,February
31,March
13,April
13,May
13,June
90,July
269,August
269,September
269,October
86,November
65,December
57,January
57,February
57,March
28,April
28,May
28,June
45,July
106,August
106,September
111,October
65,November
65,December
65,January
65,February
65,March
33,April
33,May
33,June
17,July
51,August
51,September
51,October
28,November
24,December
24,January
24,February
24,March
13,April
13,May
13,June
34,July
102,August
102,September
102,October
55,November
50,December
48,January
48,February
48,March
25,April
25,May
25,June
34,July
102,August
102,September
102,October
53,November
49,December
51,January
51,February
51,March
26,April
26,May
26,June
17,July
51,August
51,September
51,October
25,November
24,December
24,January
24,February
24,March
13,April
13,May
13,June
34,July
102,August
102,September
102,October
55,November
48,December
50,January
50,February
50,March
26,April
26,May
107,August
107,September
114,October
83,November
82,December
82,January
82,February
82,March
42,April
42,May
42,June
35,July
101,August
101,September
101,October
53,November
53,December
53,January
53,February
53,March
29,April
29,May
29,June
35,July
101,August
101,September
101,October
55,November
54,December
55,January
55,February
55,March
30,April
30,May
30,June
35,July
101,August
101,September
101,October
54,November
52,December
53,January
53,February
53,March
29,April
29,May
29,June
35,July
101,August
101,September
101,October
55,November
53,December
53,January
53,February
53,March
29,April
29,May
29,June
35,July
101,August
101,September
101,October
55,November
53,December
55,January
55,February
55,March
31,April
31,May
31,June
35,July
101,August
101,September
101,October
55,November
55,December
55,January
55,February
55,March
30,April
30,May
30,June
35,July
101,August
101,September
101,October
56,November
53,December
53,January
53,February
53,March
29,April
29,May
29,June
35,July
101,August
101,September
101,October
59,November
54,December
54,January
54,February
54,March
30,April
30,May
30,June
35,July
101,August
101,September
101,October
58,November
55,December
55,January
55,February
55,March
30,April
30,May
30,June
35,July
98,August
98,September
105,October
47,November
32,December
32,January
32,February
32,March
16,April
16,May
16,June
32,July
95,August
95,September
95,October
40,November
32,December
31,January
31,February
31,March
16,April
16,May
16,June
32,July
95,August
95,September
95,October
42,November
32,December
31,January
31,February
31,March
16,April
16,May
16,June
16,July
48,August
48,September
48,October
21,November
17,December
16,January
16,February
16,March
8,April
8,May
8,June
32,July
95,August
95,September
95,October
43,November
34,December
31,January
31,February
31,March
16,April
16,May
16,June
32,July
95,August
95,September
95,October
41,November
32,December
30,January
30,February
30,March
16,April
16,May
16,June
32,July
95,August
95,September
95,October
39,November
31,December
29,January
29,February
29,March
15,April
15,May
15,June
16,July
48,August
48,September
48,October
21,November
18,December
15,January
15,February
15,March
7,April
7,May
7,June
32,July
95,August
95,September
95,October
41,November
34,December
31,January
31,February
31,March
16,April
16,May
16,June
32,July
95,August
95,September
95,October
40,November
31,December
30,January
30,February
30,March
16,April
16,May
16,June
16,July
104,August
104,September
112,October
73,November
41,December
41,January
41,February
41,March
21,April
21,May
21,June
34,July
99,August
99,September
99,October
42,November
36,December
32,January
32,February
32,March
17,April
17,May
17,June
34,July
99,August
99,September
99,October
43,November
34,December
31,January
31,February
31,March
17,April
17,May
17,June
17,July
50,August
50,September
50,October
22,November
18,December
17,January
17,February
17,March
9,April
9,May
9,June
34,July
99,August
99,September
99,October
40,November
32,December
31,January
31,February
31,March
17,April
17,May
17,June
34,July
99,August
99,September
99,October
47,November
36,December
32,January
32,February
32,March
17,April
17,May
17,June
34,July
99,August
99,September
99,October
45,November
35,December
32,January
32,February
32,March
18,April
18,May
18,June
34,July
99,August
99,September
99,October
43,November
34,December
32,January
32,February
32,March
17,April
17,May
17,June
17,July
50,August
50,September
50,October
22,November
19,December
17,January
17,February
17,March
9,April
9,May
9,June
34,July
99,August
99,September
99,October
45,November
34,December
31,January
31,February
31,March
17,April
17,May
17,June
34,July
106,August
106,September
114,October
84,November
48,December
48,January
48,February
48,March
24,April
24,May
24,June
34,July
100,August
100,September
100,October
44,November
37,December
33,January
33,February
33,March
18,April
18,May
18,June
18,July
51,August
51,September
51,October
23,November
19,December
16,January
16,February
16,March
9,April
9,May
9,June
34,July
100,August
100,September
100,October
45,November
37,December
34,January
34,February
34,March
19,April
19,May
19,June
34,July
100,August
100,September
100,October
46,November
35,December
32,January
32,February
32,March
17,April
17,May
17,June
34,July
100,August
100,September
100,October
45,November
37,December
34,January
34,February
34,March
19,April
19,May
19,June
18,July
51,August
51,September
51,October
22,November
18,December
17,January
17,February
17,March
9,April
9,May
9,June
34,July
100,August
100,September
100,October
46,November
36,December
33,January
33,February
33,March
18,April
18,May
18,June
34,July
100,August
100,September
100,October
45,November
37,December
33,January
33,February
33,March
18,April
18,May
18,June
34,July
100,August
100,September
100,October
46,November
35,December
32,January
32,February
32,March
17,April
17,May
17,June
34,July
100,August
109,August
109,September
119,October
75,November
47,December
47,January
47,February
47,March
23,April
23,May
23,June
36,July
102,August
102,September
102,October
43,November
34,December
32,January
32,February
32,March
18,April
18,May
18,June
18,July
52,August
52,September
52,October
24,November
19,December
18,January
18,February
18,March
9,April
9,May
9,June
18,July
52,August
52,September
52,October
23,November
19,December
18,January
18,February
18,March
9,April
9,May
9,June
36,July
102,August
102,September
102,October
42,November
35,December
33,January
33,February
33,March
18,April
18,May
18,June
18,July
52,August
52,September
52,October
22,November
19,December
18,January
18,February
92,August
92,September
100,October
45,November
18,December
16,January
16,February
16,March
7,April
7,May
7,June
30,July
88,August
88,September
88,October
38,November
29,December
24,January
24,February
24,March
13,April
13,May
13,June
30,July
88,August
88,September
88,October
37,November
27,December
24,January
24,February
24,March
12,April
12,May
12,June
15,July
44,August
44,September
44,October
19,November
14,December
12,January
12,February
12,March
6,April
6,May
6,June
15,July
44,August
44,September
44,October
18,November
14,December
12,January
12,February
12,March
6,April
6,May
6,June
15,July
44,August
44,September
44,October
19,November
15,December
12,January
12,February
12,March
6,April
6,May
6,June
15,July
44,August
44,September
44,October
18,November
13,December
12,January
12,February
12,March
6,April
6,May
6,June
30,July
88,August
88,September
88,October
35,November
28,December
23,January
23,February
23,March
12,April
12,May
12,June
30,July
88,August
88,September
88,October
35,November
27,December
23,January
23,February
23,March
12,April
12,May
12,June
30,July
88,August
88,September
88,October
37,November
30,December
25,January
25,February
25,March
13,April
13,May
13,June
15,July
102,August
102,September
110,October
52,November
23,December
21,January
21,February
21,March
10,April
10,May
10,June
17,July
49,August
49,September
49,October
19,November
15,December
12,January
12,February
12,March
6,April
6,May
6,June
33,July
96,August
96,September
96,October
40,November
29,December
25,January
25,February
25,March
13,April
13,May
13,June
33,July
96,August
96,September
96,October
37,November
27,December
24,January
24,February
24,March
13,April
13,May
13,June
33,July
96,August
96,September
96,October
38,November
27,December
23,January
23,February
23,March
12,April
12,May
12,June
33,July
96,August
96,September
96,October
40,November
29,December
24,January
24,February
24,March
13,April
13,May
13,June
33,July
96,August
96,September
96,October
38,November
27,December
25,January
25,February
25,March
13,April
13,May
13,June
33,July
96,August
96,September
96,October
41,November
31,December
27,January
27,February
27,March
14,April
14,May
14,June
33,July
96,August
96,September
96,October
38,November
29,December
25,January
25,February
25,March
13,April
13,May
13,June
33,July
96,August
96,September
96,October
40,November
30,December
26,January
26,February
26,March
14,April
14,May
14,June
33,July
101,August
101,September
110,October
57,November
22,December
96,August
96,September
103,October
50,November
24,December
21,January
21,February
21,March
10,April
10,May
10,June
16,July
99,August
99,September
105,October
57,November
27,December
25,January
25,February
25,March
12,April
12,May
12,June
32,July
94,August
94,September
94,October
38,November
30,December
27,January
27,February
27,March
14,April
14,May
14,June
32,July
94,August
94,September
94,October
41,November
32,December
27,January
27,February
27,March
14,April
14,May
14,June
16,July
47,August
47,September
47,October
20,November
16,December
14,January
14,February
14,March
7,April
7,May
7,June
32,July
94,August
94,September
94,October
39,November
34,December
28,January
28,February
28,March
14,April
14,May
14,June
32,July
94,August
94,September
94,October
38,November
32,December
29,January
29,February
29,March
15,April
15,May
15,June
32,July
94,August
94,September
94,October
38,November
30,December
27,January
27,February
27,March
14,April
14,May
14,June
32,July
94,August
94,September
94,October
40,November
32,December
29,January
29,February
29,March
15,April
15,May
15,June
32,July
94,August
94,September
94,October
40,November
31,December
28,January
28,February
28,March
15,April
15,May
15,June
32,July
94,August
94,September
94,October
39,November
29,December
27,January
27,February
27,March
14,April
14,May
14,June
32,July
95,August
95,September
101,October
56,November
18,December
18,January
18,February
18,March
9,April
9,May
9,June
31,July
89,August
89,September
89,October
38,November
29,December
25,January
25,February
25,March
13,April
13,May
13,June
31,July
89,August
89,September
89,October
38,November
28,December
25,January
25,February
25,March
13,April
13,May
13,June
31,July
89,August
89,September
89,October
38,November
30,December
26,January
26,February
26,March
14,April
14,May
14,June
31,July
89,August
89,September
89,October
35,November
28,December
25,January
25,February
25,March
13,April
13,May
13,June
31,July
89,August
89,September
89,October
37,November
30,December
24,January
24,February
24,March
13,April
13,May
13,June
31,July
89,August
89,September
89,October
39,November
29,December
25,January
25,February
25,March
13,April
13,May
13,June
16,July
45,August
45,September
45,October
19,November
15,December
12,January
12,February
12,March
6,April
6,May
6,June
31,July
89,August
89,September
89,October
40,November
30,December
26,January
26,February
26,March
14,April
14,May
14,June
16,July
45,August
45,September
45,October
18,November
14,December
13,January
13,February
13,March
7,April
7,May
7,June
16,July
94,August
94,September
100,October
39,November
19,December
19,January
19,February
19,March
9,April
9,May
9,June
30,July
89,August
89,September
89,October
38,November
29,December
25,January
25,February
25,March
13,April
13,May
13,June
30,July
89,August
89,September
89,October
38,November
30,December
24,January
24,February
24,March
12,April
12,May
12,June
15,July
44,August
44,September
44,October
19,November
15,December
13,January
13,February
13,March
7,April
7,May
7,June
30,July
89,August
89,September
89,October
37,November
29,December
25,January
25,February
25,March
13,April
13,May
13,June
30,July
89,August
89,September
89,October
38,November
29,December
25,January
25,February
25,March
13,April
13,May
13,June
15,July
44,August
94,August
94,September
101,October
46,November
22,December
19,January
19,February
19,March
9,April
9,May
9,June
30,July
89,August
89,September
89,October
38,November
29,December
25,January
25,February
25,March
13,April
13,May
13,June
30,July
89,August
89,September
89,October
37,November
29,December
25,January
25,February
25,March
13,April
13,May
13,June
30,July
89,August
89,September
89,October
37,November
29,December
26,January
26,February
26,March
13,April
13,May
13,June
30,July
89,August
89,September
89,October
36,November
28,December
25,January
25,February
25,March
13,April
13,May
13,June
30,July
89,August
89,September
89,October
37,November
28,December
24,January
24,February
24,March
13,April
13,May
13,June
30,July
89,August
89,September
89,October
39,November
27,December
24,January
24,February
24,March
13,April
13,May
13,June
30,July
89,August
89,September
89,October
38,November
28,December
24,January
24,February
24,March
13,April
13,May
13,June
30,July
89,August
89,September
89,October
38,November
27,December
23,January
23,February
23,March
12,April
12,May
12,June
30,July
89,August
89,September
89,October
37,November
29,December
24,January
24,February
24,March
12,April
12,May
12,June
30,July
100,August
100,September
106,October
75,November
48,December
45,January
45,February
45,March
22,April
22,May
22,June
32,July
93,August
93,September
93,October
42,November
34,December
31,January
31,February
31,March
17,April
17,May
17,June
32,July
93,August
93,September
93,October
45,November
34,December
31,January
31,February
31,March
17,April
17,May
17,June
32,July
93,August
93,September
93,October
43,November
34,December
32,January
32,February
32,March
18,April
18,May
18,June
32,July
93,August
93,September
93,October
45,November
35,December
32,January
32,February
32,March
18,April
18,May
18,June
16,July
48,August
48,September
48,October
23,November
18,December
16,January
16,February
16,March
9,April
9,May
9,June
16,July
48,August
48,September
48,October
22,November
18,December
17,January
17,February
17,March
10,April
10,May
10,June
32,July
93,August
93,September
93,October
45,November
37,December
32,January
32,February
32,March
18,April
18,May
18,June
32,July
93,August
93,September
93,October
41,November
34,December
32,January
32,February
32,March
17,April
17,May
17,June
32,July
93,August
93,September
93,October
42,November
35,December
32,January
32,February
32,March
17,April
17,May
17,June
16,July
109,August
109,September
119,October
77,November
42,December
42,January
42,February
42,March
21,April
21,May
21,June
36,July
103,August
103,September
103,October
45,November
36,December
31,January
31,February
31,March
18,April
18,May
18,June
36,July
103,August
103,September
103,October
44,November
34,December
31,January
31,February
103,August
103,September
110,October
116,August
116,September
123,October
89,November
66,December
63,January
63,February
63,March
31,April
31,May
31,June
37,July
109,August
109,September
110,October
50,November
43,December
40,January
40,February
40,March
103,August
103,September
110,October
59,November
32,December
32,January
32,February
32,March
16,April
16,May
16,June
33,July
95,August
95,September
95,October
42,November
32,December
28,January
28,February
28,March
15,April
15,May
15,June
33,July
95,August
95,September
95,October
42,November
32,December
28,January
28,February
28,March
15,April
15,May
15,June
33,July
95,August
95,September
95,October
42,November
33,December
28,January
28,February
28,March
15,April
15,May
15,June
33,July
95,August
95,September
95,October
42,November
32,December
28,January
28,February
28,March
15,April
15,May
15,June
33,July
95,August
95,September
95,October
41,November
30,December
27,January
27,February
27,March
14,April
14,May
14,June
33,July
95,August
95,September
95,October
39,November
33,December
29,January
29,February
29,March
15,April
15,May
15,June
33,July
95,August
95,September
95,October
40,November
31,December
28,January
28,February
28,March
15,April
15,May
15,June
33,July
95,August
95,September
95,October
41,November
30,December
28,January
28,February
28,March
15,April
15,May
15,June
33,July
95,August
95,September
95,October
40,November
31,December
28,January
28,February
28,March
15,April
15,May
15,June
33,July
102,August
102,September
110,October
76,November
49,December
49,January
49,February
49,March
26,April
26,May
26,June
33,July
96,August
96,September
96,October
43,November
36,December
33,January
33,February
33,March
18,April
18,May
18,June
33,July
96,August
96,September
96,October
43,November
36,December
33,January
33,February
33,March
18,April
18,May
18,June
33,July
96,August
96,September
96,October
44,November
37,December
33,January
33,February
33,March
19,April
19,May
19,June
33,July
96,August
96,September
96,October
45,November
36,December
32,January
32,February
32,March
18,April
18,May
18,June
33,July
96,August
96,September
96,October
44,November
34,December
33,January
33,February
33,March
18,April
18,May
18,June
33,July
96,August
96,September
96,October
43,November
34,December
33,January
33,February
33,March
18,April
18,May
18,June
33,July
96,August
96,September
96,October
43,November
36,December
33,January
33,February
33,March
19,April
19,May
19,June
33,July
96,August
96,September
96,October
42,November
34,December
32,January
32,February
32,March
18,April
18,May
18,June
33,July
96,August
96,September
96,October
44,November
37,December
32,January
32,February
32,March
18,April
18,May
18,June
33,July
102,August
102,September
110,October
74,November
43,December
43,January
43,February
43,March
21,April
21,May
21,June
17,July
48,August
48,September
48,October
23,November
18,December
16,January
16,February
16,March
9,April
9,May
9,June
17,July
48,August
48,September
48,October
23,November
19,December
16,January
16,February
16,March
9,April
9,May
9,June
17,July
48,August
48,September
48,October
22,November
18,December
16,January
16,February
16,March
9,April
9,May
9,June
17,July
48,August
48,September
48,October
21,November
17,December
16,January
16,February
16,March
9,April
109,August
109,September
118,October
85,November
43,December
43,January
43,February
43,March
21,April
21,May
21,June
19,July
52,August
52,September
52,October
24,November
18,December
16,January
16,February
16,March
9,April
9,May
9,June
19,July
52,August
52,September
52,October
22,November
17,December
16,January
16,February
16,March
9,April
9,May
9,June
19,July
52,August
52,September
52,October
23,November
18,December
16,January
16,February
16,March
9,April
9,May
9,June
19,July
52,August
52,September
52,October
22,November
17,December
16,January
16,February
16,March
9,April
9,May
9,June
19,July
52,August
52,September
52,October
23,November
18,December
16,January
16,February
16,March
9,April
9,May
9,June
19,July
52,August
52,September
52,October
22,November
17,December
16,January
16,February
16,March
9,April
9,May
9,June
19,July
52,August
52,September
52,October
23,November
19,December
16,January
16,February
16,March
9,April
9,May
9,June
19,July
52,August
52,September
52,October
25,November
19,December
17,January
17,February
17,March
10,April
10,May
10,June
19,July
52,August
52,September
52,October
22,November
17,December
16,January
16,February
16,March
9,April
9,May
9,June
19,July
104,August
104,September
111,October
76,November
54,December
54,January
54,February
54,March
27,April
27,May
27,June
33,July
96,August
96,September
96,October
42,November
36,December
33,January
33,February
33,March
18,April
18,May
18,June
33,July
96,August
96,September
96,October
45,November
37,December
35,January
35,February
35,March
19,April
19,May
19,June
33,July
96,August
96,September
96,October
45,November
38,December
35,January
35,February
35,March
19,April
19,May
19,June
33,July
96,August
96,September
96,October
44,November
36,December
34,January
34,February
34,March
19,April
19,May
19,June
33,July
96,August
96,September
96,October
44,November
37,December
33,January
33,February
33,March
18,April
18,May
18,June
33,July
96,August
96,September
96,October
45,November
37,December
36,January
36,February
36,March
19,April
19,May
19,June
33,July
96,August
96,September
96,October
45,November
37,December
34,January
34,February
34,March
18,April
18,May
18,June
33,July
96,August
96,September
96,October
47,November
37,December
35,January
35,February
35,March
19,April
19,May
19,June
33,July
96,August
96,September
96,October
45,November
37,December
35,January
35,February
35,March
19,April
19,May
19,June
33,July
99,August
99,September
109,October
60,November
36,December
33,January
33,February
33,March
17,April
17,May
17,June
33,July
93,August
93,September
93,October
36,November
31,December
29,January
29,February
29,March
16,April
16,May
16,June
33,July
93,August
93,September
93,October
39,November
31,December
28,January
28,February
28,March
16,April
16,May
16,June
33,July
93,August
93,September
93,October
39,November
31,December
28,January
28,February
28,March
15,April
15,May
15,June
33,July
93,August
93,September
93,October
39,November
30,December
27,January
27,February
27,March
15,April
15,May
15,June
33,July
93,August
93,September
93,October
40,November
31,December
28,January
28,February
28,March
16,April
16,May
16,June
33,July
93,August
93,September
93,October
40,November
31,December
28,January
28,February
28,March
16,April
16,May
16,June
33,July
93,August
93,September
93,October
42,November
33,December
28,January
28,February
28,March
16,April
16,May
16,June
33,July
93,August
93,September
93,October
40,November
30,December
26,January
26,February
26,March
15,April
15,May
15,June
33,July
93,August
93,September
93,October
41,November
33,December
29,January
29,February
29,March
16,April
16,May
16,June
33,July
93,August
93,September
93,October
42,November
34,December
28,January
28,February
28,March
16,April
16,May
16,June
33,July
93,August
93,September
93,October
38,November
29,December
27,January
27,February
27,March
15,April
15,May
15,June
33,July
93,August
93,September
93,October
36,November
29,December
27,January
27,February
27,March
16,April
16,May
16,June
33,July
93,August
93,September
93,October
39,November
31,December
28,January
28,February
28,March
16,April
16,May
16,June
33,July
93,August
93,September
91,August
91,September
97,October
37,November
33,December
33,January
33,February
33,March
16,April
16,May
16,June
29,July
87,August
87,September
87,October
39,November
31,December
30,January
30,February
30,March
15,April
15,May
15,June
29,July
87,August
87,September
87,October
40,November
34,December
31,January
31,February
31,March
16,April
16,May
16,June
29,July
87,August
87,September
87,October
38,November
34,December
29,January
29,February
29,March
15,April
15,May
15,June
29,July
87,August
87,September
87,October
39,November
35,December
30,January
30,February
30,March
15,April
15,May
15,June
29,July
87,August
87,September
87,October
37,November
32,December
30,January
30,February
30,March
15,April
15,May
15,June
29,July
87,August
87,September
87,October
37,November
33,December
31,January
31,February
31,March
16,April
16,May
16,June
29,July
87,August
87,September
87,October
40,November
32,December
29,January
29,February
29,March
15,April
15,May
15,June
29,July
87,August
87,September
87,October
38,November
31,December
30,January
30,February
30,March
15,April
15,May
15,June
29,July
87,August
87,September
87,October
39,November
34,December
30,January
30,February
30,March
15,April
15,May
15,June
29,July
87,August
87,September
87,October
39,November
33,December
30,January
30,February
30,March
15,April
15,May
15,June
29,July
87,August
87,September
87,October
36,November
32,December
30,January
30,February
30,March
15,April
15,May
15,June
29,July
87,August
87,September
87,October
37,November
32,December
30,January
30,February
30,March
15,April
15,May
15,June
102,August
104,August
104,September
111,October
71,November
38,December
38,January
38,February
38,March
19,April
19,May
19,June
33,July
97,August
97,September
97,October
42,November
34,December
31,January
31,February
31,March
16,April
16,May
16,June
33,July
97,August
97,September
97,October
43,November
34,December
29,January
29,February
29,March
16,April
16,May
16,June
33,July
97,August
97,September
97,October
40,November
34,December
32,January
32,February
32,March
17,April
17,May
17,June
33,July
90,August
90,September
96,October
51,November
30,December
30,January
30,February
30,March
15,April
108,August
108,September
118,October
80,November
38,December
38,January
38,February
38,March
19,April
19,May
19,June
35,July
103,August
103,September
103,October
43,November
31,December
27,January
27,February
27,March
15,April
15,May
15,June
35,July
103,August
103,September
103,October
39,November
32,December
27,January
27,February
27,March
14,April
14,May
14,June
35,July
103,August
103,September
103,October
42,November
31,December
27,January
27,February
27,March
15,April
15,May
15,June
35,July
103,August
103,September
103,October
42,November
30,December
27,January
27,February
27,March
15,April
15,May
15,June
35,July
103,August
103,September
103,October
42,November
29,December
27,January
27,February
27,March
14,April
14,May
14,June
35,July
103,August
103,September
103,October
45,November
32,December
28,January
28,February
28,March
15,April
15,May
15,June
35,July
103,August
103,September
103,October
44,November
32,December
29,January
29,February
29,March
15,April
15,May
15,June
35,July
103,August
103,September
103,October
42,November
31,December
27,January
27,February
27,March
15,April
102,August
102,September
109,October
74,November
31,December
31,January
31,February
31,March
15,April
15,May
15,June
33,July
97,August
113,August
113,September
122,October
90,November
40,December
40,January
40,February
40,March
19,April
19,May
19,June
37,July
108,August
108,September
117,October
76,November
16,December
16,January
16,February
16,March
7,April
7,May
7,June
35,July
102,August
102,September
102,October
41,November
32,December
26,January
26,February
26,March
14,April
14,May
14,June
35,July
102,August
102,September
102,October
45,November
33,December
26,January
26,February
26,March
14,April
14,May
14,June
35,July
102,August
102,September
102,October
43,November
29,December
24,January
24,February
24,March
12,April
12,May
12,June
35,July
102,August
102,September
102,October
40,November
33,December
25,January
25,February
25,March
13,April
13,May
13,June
35,July
102,August
102,September
102,October
44,November
31,December
25,January
25,February
25,March
14,April
14,May
14,June
35,July
102,August
102,September
102,October
43,November
31,December
25,January
25,February
25,March
13,April
13,May
13,June
35,July
102,August
102,September
102,October
42,November
30,December
25,January
25,February
25,March
14,April
14,May
14,June
35,July
102,August
102,September
102,October
109,August
109,September
117,October
82,November
26,December
26,January
26,February
26,March
13,April
13,May
13,June
35,July
102,August
102,September
102,October
43,November
33,December
27,January
27,February
27,March
15,April
15,May
15,June
35,July
102,August
102,September
102,October
42,November
31,December
27,January
27,February
27,March
15,April
15,May
15,June
35,July
102,August
102,September
102,October
43,November
33,December
28,January
28,February
28,March
16,April
16,May
16,June
35,July
102,August
102,September
102,October
42,November
93,August
93,September
118,October
78,November
29,December
29,January
29,February
29,March
15,April
15,May
15,June
36,July
94,August
94,September
94,October
36,November
26,December
22,January
22,February
22,March
18,April
18,May
18,June
36,July
94,August
94,September
94,October
37,November
26,December
21,January
21,February
21,March
17,April
17,May
17,June
36,July
94,August
94,September
94,October
34,November
26,December
21,January
21,February
95,August
95,September
91,August
91,September
115,October
93,November
41,December
41,January
41,February
41,March
21,April
21,May
21,June
36,July
89,August
89,September
89,October
36,November
26,December
22,January
22,February
22,March
20,April
20,May
20,June
36,July
89,August
89,September
89,October
36,November
25,December
22,January
22,February
22,March
19,April
19,May
19,June
36,July
89,August
89,September
89,October
36,November
26,December
22,January
22,February
22,March
19,April
19,May
19,June
36,July
89,August
89,September
89,October
35,November
27,December
22,January
91,August
91,September
113,October
85,November
39,December
39,January
39,February
39,March
21,April
21,May
21,June
36,July
89,August
89,September
89,October
36,November
27,December
23,January
23,February
23,March
19,April
19,May
19,June
36,July
89,August
89,September
89,October
36,November
26,December
22,January
22,February
22,March
19,April
19,May
19,June
36,July
89,August
89,September
89,October
36,November
26,December
22,January
22,February
22,March
19,April
19,May
19,June
36,July
89,August
89,September
89,October
36,November
27,December
23,January
23,February
23,March
20,April
20,May
20,June
36,July
89,August
89,September
89,October
36,November
28,December
23,January
23,February
23,March
20,April
20,May
20,June
36,July
89,August
89,September
89,October
36,November
27,December
22,January
22,February
22,March
19,April
19,May
19,June
36,July
89,August
89,September
89,October
36,November
26,December
23,January
23,February
23,March
19,April
19,May
19,June
36,July
89,August
89,September
89,October
34,November
26,December
22,January
22,February
22,March
19,April
19,May
19,June
36,July
89,August
89,September
89,October
36,November
